Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
"268. Rockett, K.A., Clarke, G.M., Fitzpatrick, K., Hubbart, C., Jeffreys, A.E., Rowland, K., Craik, R., Jallow, M., Conway, D.J., Bojang, K.A., Pinder, M., Usen, S., Sisay-Joof, F., Sirugo, G., Toure, O., Thera, M.A., Konate, S., Sissoko, S., Niangaly, A., Poudiougou, B., Mangano, V.D., Bougouma, E.C., Sirima, S.B., Modiano, D., Amenga-Etego, L.N., Ghansah, A., Koram, K.A., Wilson, M.D., Enimil, A., Evans, J., Amodu, O, Olaniyan, S., Apinjoh, T., Mugri, R., Ndi, A., Ndila, C.M., Uyoga, S., Macharia, A., Peshu, N., Williams, T.N., Manjurano, A., Riley, E., Drakeley, C., Reyburn, H., Nyirongo, V., Kachala, D., Molyneux, M., Dunstan, S.J., Hoan Phu, N., Thi Ngoc Quyen, N., Quang Thai, C., Tinh Hien, T., Manning, L., Laman, M., Siba, P.,  Karunajeewa, H., Allen, S., Allen, A., Davis, T.M.E., Michon, P., Mueller, I., Green, A., Molloy, S., Johnson, K.J., Kerasidou, A., Cornelius, V., Hart, L., Vanderwal, A., SanJoaquin, M., Band, G., Le, S.Q., Pirinen, M., Sepúlveda, N., Spencer, C.C.A., Clark, T.G., Agbenyega, T., Achidi, E., Doumbo, O., Farrar, J., Marsh, K., Taylor, T. & Kwiatkowski, D.P. for Malaria Genomic Epidemiology Network (2014) Reappraisal o known malaria resistance loci in a large multi-centre study. Nature Genetic doi: 10. 1038/ng.3107.", Malaria Genomic Epidemiology Network (2014) Reappraisal o known malaria resistance loci in a large multi-centre study,malaria,Nature Genetic,2014,,,,,82, 10. 1038/ng.3107,,,,,,,,"Many human genetic associations with resistance to malaria have been reported but few have been reliably replicated. We collected data on 11,890 cases of severe malaria due to Plasmodium falciparum and 17,441 controls from 12 locations in Africa, Asia and Oceania. There was strong evidence of association with the HBB, ABO, ATP2B4, G6PD and CD40LG loci but previously reported associations at 22 other loci did not replicate in the multi-centre analysis. The large sample size made it possible to identify authentic genetic effects that are heterogeneous across populations or phenotypes, a striking example being the main African form of G6PD deficiency, which reduced the risk of cerebral malaria but increased the risk of severe malarial anaemia. The finding that G6PD deficiency has opposing effects on different fatal complications of P. falciparum infection indicates that the evolutionary origins of this common human genetic disorder are more complex than previously supposed."
"269. Wamoyi, J. & Wight, D. (2014) 'Mum never loved me.' How structural factors influence adolescent sexual and reproductive health through parent-child connectedness: a qualitative study in rural Tanzania. African Journal of AIDS Research 13(2):169-78. doi: 10.2989/16085906.2014.945387.",'Mum never loved me.' How structural factors influence adolescent sexual and reproductive health through parent-child connectedness: a qualitative study in rural Tanzania,adolescent sexual and reproductive health,African Journal of AIDS Research,2014,13,2,169,178,2,10.2989/16085906.2014.945387,,,,,,,,"Research in high income countries shows parent-child connectedness to be protective against undesirable sexual and reproductive health (SRH) outcomes among young people. Little has been done to understand the nature of parent-child connectedness, the structural factors that impact on connectedness and parents' understanding of how connectedness affects their children's sexual behaviour in sub-Saharan Africa and Tanzania in particular. Ethnographic research involved 30 days of observation in 10 households, 9 focus group discussions and 60 in-depth interviews. Thematic analysis was conducted using NVIVO qualitative data analysis software. The structural factors with greatest influence on connectedness were economic circumstances, gender, social status, state education, and globalisation. Economic circumstances impacted on parent-child connectedness through parents' ability to provide for their children's material needs, and the time their occupation allowed for them to spend with their children and monitor their activities. Appropriate parent-child interactions were shaped by gender norms and by social status in the form of respectability, adolescents' adherence to norms of respect/obedience shaping their parents' affection. State education affected parents' preferences between children but also undermined parental authority, as did broader globalisation. Connectedness was related to SRH in a bi-directional way: lack of connectedness was linked to young people's low self-esteem and risky sexual behaviour while unplanned pregnancies seriously undermined young women's connectedness with their parents. Since material provision was perceived to be a central element of parent-child connectedness, structural factors limiting provision made transactional sex more likely both through direct material pathways and emotional ones. Motives for transactional sex were said to be material needs and to feel loved and cared for. An important pathway by which structural factors shape adolescent SRH outcomes is through parent-child connectedness, especially parents' ability to spend time with their children and provide for their economic needs. Modifying these structural factors should facilitate parent-child connectedness, which may help delay early sexual intercourse, protect young people against unplanned pregnancy through encouraging communication on contraception use and, overall, promote healthy adolescent development."
"270. Wamoyi, J. & Wight, D. (2014) ""Dying a hero"": parents' and young people's discourses on concurrent sexual partnerships in rural Tanzania. BMC Public Health 14:742. doi: 10.1186/1471-2458-14-742.",Dying a hero: parents' and young people's discourses on concurrent sexual partnerships in rural Tanzania,sexual partnerships,BMC Public Health,2014,14,,742,,2, 10.1186/1471-2458-14-742,,,,,,,,"Background: Concurrent sexual partnerships (CSPs) have been speculated to drive the HIV pandemic in many sub-Saharan African countries. We have limited understanding of how people think and talk about CSPs, how beliefs are transmitted across generations, and how this might affect the practice. This paper explores these issues to understand how CSPs are perpetuated and help identify opportunities for interventions to modify them.                                                                                                                                                                                             Methods: The study employed an ethnographic research design involving: participant observation in 10 households, 60 in-depth interviews (IDIs), and nine participatory focus group discussions (FGDs). Participants were young people aged 14-24 and parents/carers of young people within this age group. The 60 IDIs were conducted with: 17 fathers, 13 mothers, 13 young men and 17 young women (six of whom had had unplanned pregnancies and 11 had no children). The nine FGDs were conducted with groups of: fathers (2), mothers (2), young women (2), and young men (3). A discourse analysis was carried out with all the transcripts. Data were analysed with the aid of NVIVO 8 software.                                                                        Results:Six distinct discourses were identified from the way participants talked about CSPs and the norms driving the practice: 1) predatory masculine sexuality; 2) masculine respectability; 3) feminine respectability; 4) empowered modern women; 5) traditional health beliefs; 6) public health. Discourses legitimating CSPs were drawn on and reproduced primarily by young people and the media and only indirectly by parents. Discourses discouraging CSPs were used primarily by parents, religious leaders and learning institutions and only indirectly by young people themselves.                                                                                                                                                                                                                                               Conclusion: Better knowledge of the discourses through which young people CSPs, and how these discourses are transmitted across generations, might help develop “culturally compelling” interventions that modify these discourses to enhance sexual health."
"271. West, P.A., Protopopoff, N., Wright, A., Kivaju, Z., Tigererwa, R., Mosha, F.W., Kisinza, W., Rowland, M., Kleinschmidt, I. (2014) Indoor residual spraying in combination with insecticide-treated nets compared to insecticide-treated nets alone for protection against malaria: a cluster randomised trial in Tanzania. PLoS Medicine. doi:10.1371/journal.pmed.1001630.",Indoor residual spraying in combination with insecticide-treated nets compared to insecticide-treated nets alone for protection against malaria: a cluster randomised trial in Tanzania,malaria,PLoS Medicine,2014,,,,,9,10.1371/journal.pmed.1001630,,,,,,,,"Background: Young people particularly women are at increased risk of undesirable sexual and reproductive health (SRH) outcomes. Structural factors have been reported as driving some of these risks. Although several interventions have targeted some of the structural drivers for adolescent’s SRH risk, little has been done to consolidate such work. This would provide a platform for coordinated efforts towards adolescent’s SRH. We provide a narrative summary of interventions in sub-Saharan Africa (sSA) addressing the structural drivers of adolescents’ SRH risk, explore pathways of influence, and highlight areas for further work.                                                                                                                                                                              Methods: 33 abstracts and summary reports were retrieved and perused for suitability. Fifteen documents met the inclusion criteria and were read in full. Papers and reports were manually reviewed and 15 interventions that met the criteria for inclusion were summarised in a table format.                                                                                                                              Results: Most of the interventions addressed multiple structural factors, such as social norms, gender inequality, and poverty. Some interventions focused on reducing economic drivers that increased sexual risk behaviours. Others focused on changing social norms and thus sexual risk behaviours through communication. Social norms addressed included gender inequality, gender violence, and child socialisation. The interventions included components on comprehensive sexuality and behaviour change and communication and parenting, using different designs and evaluation methods. Important lessons from the narrative summary included the need for a flexible intervention design when addressing adolescents, the need for coordinated effort among different stakeholders.                                                                                                                                                                                                                                            Conclusion: There are encouraging efforts towards addressing structural drivers among adolescents in (sSA). There is, however, a need for interventions to have a clear focus, indicate the pathways of influence, and have a rigorous evaluation strategy assessing how they work to reduce vulnerability to HIV. There is also a need for coordinated effort among stakeholders working on adolescent vulnerability in sSA."
"272. Wamoyi, J., Mshana, G., Mongi, A., Neke, N., Kapiga, S., Changalucha, J. (2014) A review of interventions addressing structural drivers of adolescents' sexual and reproductive health vulnerability in sub-Saharan Africa: implications for sexual health programming. Reproductive Health 11:88. doi: 10.1186/1742-4755-11-88.",A review of interventions addressing structural drivers of adolescents' sexual and reproductive health vulnerability in sub-Saharan Africa: implications for sexual health programming,adolescents' sexual and reproductive,Reproductive Health ,2014,11,,88,,6,10.1186/1742-4755-11-88,,,,,,,,"Background: Young people particularly women are at increased risk of undesirable sexual and reproductive health (SRH) outcomes. Structural factors have been reported as driving some of these risks. Although several interventions have targeted some of the structural drivers for adolescent’s SRH risk, little has been done to consolidate such work. This would provide a platform for coordinated efforts towards adolescent’s SRH. We provide a narrative summary of interventions in sub-Saharan Africa (sSA) addressing the structural drivers of adolescents’ SRH risk, explore pathways of influence, and highlight areas for further work.                                                                                                                                                                             Methods: 33 abstracts and summary reports were retrieved and perused for suitability. Fifteen documents met the inclusion criteria and were read in full. Papers and reports were manually reviewed and 15 interventions that met the criteria for inclusion were summarised in a table format.                                                                                                                                     Results: Most of the interventions addressed multiple structural factors, such as social norms, gender inequality, and poverty. Some interventions focused on reducing economic drivers that increased sexual risk behaviours. Others focused on changing social norms and thus sexual risk behaviours through communication. Social norms addressed included gender inequality, gender violence, and child socialisation. The interventions included components on comprehensive sexuality and behaviour change and communication and parenting, using different designs and evaluation methods. Important lessons from the narrative summary included the need for a flexible intervention design when addressing adolescents, the need for coordinated effort among different stakeholders.                                                                                                                                                                                                                                                 Conclusion: There are encouraging efforts towards addressing structural drivers among adolescents in (sSA). There is, however, a need for interventions to have a clear focus, indicate the pathways of influence, and have a rigorous evaluation strategy assessing how they work to reduce vulnerability to HIV. There is also a need for coordinated effort among stakeholders working on adolescent vulnerability in sSA."
"273. Wamoyi, J., Wight, D. (2014) ""Dying a hero"": parents' and young people's discourses on concurrent sexual partnerships in rural Tanzania. BMC Public Health14:742. doi: 10.1186/1471-2458-14-742","Dying a hero"": parents' and young people's discourses on concurrent sexual partnerships in rural Tanzania",sexual partnerships,BMC Public Health,2014,14,,742,,2,10.1186/1471-2458-14-742,,,,,,,,"Background: Concurrent sexual partnerships (CSPs) have been speculated to drive the HIV pandemic in many sub-Saharan African countries. We have limited understanding of how people think and talk about CSPs, how beliefs are transmitted across generations, and how this might affect the practice. This paper explores these issues to understand how CSPs are perpetuated and help identify opportunities for interventions to modify them.                                                                                                                                                                                        Methods: The study employed an ethnographic research design involving: participant observation in 10 households, 60 in-depth interviews (IDIs), and nine participatory focus group discussions (FGDs). Participants were young people aged 14-24 and parents/carers of young people within this age group. The 60 IDIs were conducted with: 17 fathers, 13 mothers, 13 young men and 17 young women (six of whom had had unplanned pregnancies and 11 had no children). The nine FGDs were conducted with groups of: fathers (2), mothers (2), young women (2), and young men (3). A discourse analysis was carried out with all the transcripts. Data were analysed with the aid of NVIVO 8 software.                                                                   Results: Six distinct discourses were identified from the way participants talked about CSPs and the norms driving the practice: 1) predatory masculine sexuality; 2) masculine respectability; 3) feminine respectability; 4) empowered modern women; 5) traditional health beliefs; 6) public health. Discourses legitimating CSPs were drawn on and reproduced primarily by young people and the media and only indirectly by parents. Discourses discouraging CSPs were used primarily by parents, religious leaders and learning institutions and only indirectly by young people themselves.                                                                                                                                                                                                                                               Conclusion: Better knowledge of the discourses through which young people CSPs, and how these discourses are transmitted across generations, might help develop “culturally compelling” interventions that modify these discourses to enhance sexual health"
"274. White, M.T., Bejon, P., Olotu, A., Griffin, J.T., Bojang, K., Lusingu, J., Salim, N., Abdulla, S., Otsyula, N., Agnandji, S.T., Lell, B., Asante, K., Owusu-Agyei, S., Mahama, E., Agbenyega, T., Ansong, D.,Sacarlal, J., Aponte, J.J., Ghani, A.C. (2014)  A combined analysis of immunogenicity, antibody kinetics and vaccine efficacy from Phase 2 trials of the RTS, S malaria vaccine. BMC Medicine 12 (1): 117.","A combined analysis of immunogenicity, antibody kinetics and vaccine efficacy from Phase 2 trials of the RTS, S malaria vaccine",malaria,BMC Medicine,2014,12,1,117,,19,,,,,,,,,"The RTS,S malaria vaccine is currently undergoing phase 3 trials. High vaccine-induced antibody titres to the circumsporozoite protein (CSP) antigen have been associated with protection from infection and episodes of clinical malaria. Using data from 5,144 participants in nine phase 2 trials, we explore predictors of vaccine immunogenicity (anti-CSP antibody titres), decay in antibody titres, and the association between antibody titres and clinical outcomes. We use empirically-observed relationships between these factors to predict vaccine efficacy in a range of scenarios. Vaccine-induced anti-CSP antibody titres were significantly associated with age (P = 0.04), adjuvant (P <0.001), pre-vaccination anti-hepatitis B surface antigen titres (P = 0.005) and pre-vaccination anti-CSP titres (P <0.001). Co-administration with other vaccines reduced anti-CSP antibody titres although not significantly (P = 0.095). Antibody titres showed a bi-phasic decay over time with an initial rapid decay in the first three months and a second slower decay over the next three to four years. Antibody titres were significantly associated with protection, with a titre of 51 (95% Credible Interval (CrI): 29 to 85) ELISA units/ml (EU/mL) predicted to prevent 50% of infections in children. Vaccine efficacy was predicted to decline to zero over four years in a setting with entomological inoculation rate (EIR) = 20 infectious bites per year (ibpy). Over a five-year follow-up period at an EIR = 20 ibpy, we predict RTS,S will avert 1,782 cases per 1,000 vaccinated children, 1,452 cases per 1,000 vaccinated infants, and 887 cases per 1,000 infants when co-administered with expanded programme on immunisation (EPI) vaccines. Our main study limitations include an absence of vaccine-induced cellular immune responses and short duration of follow-up in some individuals. Vaccine-induced anti-CSP antibody titres and transmission intensity can explain variations in observed vaccine efficacy."
"275. Wouters, O.J., Downs, P.W., Zoerhoff, K.L., Crowley, K.R., Frawley, H., Einberg, J., Chu, B.K., Brady, M.A., Oscar, R., Jeudi, M., Desormeaux, A., Coly, K., Direny, A.N., Thakur, G.D., Pokharel, R.K., Sharma, S., Raman, D.P., Sesay, S., Sonnie, M., Kilembe, B., Mwingira, U., Yajima, A. (2014) Resource planning for Neglected Tropical Disease (NTD) control programs: feasibility study of the tool for integrated planning and costing (TIPAC) . PLoS Neglected Tropical Diseases 8(2): e2619. doi:10.1371/journal.pntd.0002619. ", Resource planning for Neglected Tropical Disease (NTD) control programs: feasibility study of the tool for integrated planning and costing (TIPAC) ,NTD,PLoS Neglected Tropical Diseases ,2014,8,2,e2619,,22,10.1371/journal.pntd.0002619,,,,,,,,"Kathryn R. Crowley, Hannah Frawley, Jennifer Einberg, Brian K. Chu, Molly A. Brady, Roland Oscar, Mireille Jeudi, Anne-Marie Desormeaux, Karleen Coly, Abdel N. Direny, Garib D. Thakur, Raj K. Pokharel, Shekhar Sharma, Dharmpal P. Raman, Santigie Sesay, Mustapha Sonnie, Bernard Kilembe, Upendo Mwingira, Aya Yajima Resource planning for Neglected Tropical Disease (NTD) Control Programs: feasibility study of the Tool for Integrated Planning and Costing (TIPAC) Article (Published version) (Refereed)"
"276. Allen, E.N., Mushi, A.K., Massawe, I.S., Vestergaard, L.S., Lemnge, M.M., Staedke, S.G., Mehta, U., Barnes, K.I., Chandler, C.I.R. (2013) How experiences become data: the process of eliciting adverse event, medical history and concomitant medication reports in antimalarial and antiretroviral interaction trials. BMC Medical Research Methodology 13:140"," How experiences become data: the process of eliciting adverse event, medical history and concomitant medication reports in antimalarial and antiretroviral interaction trials",antimalarial and antiretroviral ,BMC Medical Research Methodology ,2013,13,,140,,9,,,,,,,,,"BACKGROUND: Accurately characterizing a drug's safety profile is essential. Trial harm and tolerability assessments rely, in part, on participants' reports of medical histories, adverse events (AEs), and concomitant medications. Optimal methods for questioning participants are unclear, but different methods giving different results can undermine meta-analyses. This study compared methods for eliciting such data and explored reasons for dissimilar participant responses.                                                                                                                              METHODS: Participants from open-label antimalarial and antiretroviral interaction trials in two distinct sites (South Africa, n = 18 [all HIV positive]; Tanzania, n = 80 [86% HIV positive]) were asked about ill health and treatment use by sequential use of (1) general enquiries without reference to particular conditions, body systems or treatments, (2) checklists of potential health issues and treatments, (3) in-depth interviews. Participants' experiences of illness and treatment and their reporting behavior were explored qualitatively, as were trial clinicians' experiences with obtaining participant reports. Outcomes were the number and nature of data by questioning method, themes from qualitative analyses and a theoretical interpretation of participants' experiences.                                                                                                                                                                                                                                                                    RESULTS: There was an overall cumulative increase in the number of reports from general enquiry through checklists to in-depth interview; in South Africa, an additional 12 medical histories, 21 AEs and 27 medications; in Tanzania an additional 260 medical histories, 1 AE and 11 medications. Checklists and interviews facilitated recognition of health issues and treatments, and consideration of what to report. Information was sometimes not reported because participants forgot, it was considered irrelevant or insignificant, or they feared reporting. Some medicine names were not known and answers to questions were considered inferior to blood tests for detecting ill health. South African inpatient volunteers exhibited a ""trial citizenship"", working to achieve researchers' goals, while Tanzanian outpatients sometimes deferred responsibility for identifying items to report to trial clinicians.                             CONCLUSIONS: Questioning methods and trial contexts influence the detection of adverse events, medical histories and concomitant medications. There should be further methodological work to investigate these influences and find appropriate questioning methods."
"277. Bakari, M., Munseri, P., Francis, J., Aris, E.A., Moshiro, C., Siyame, D., Janabi,M., Ngatoluwa, M., Aboud, S., Lyamuya, E., Sandstrom, E., Mhalu, F. (2013) Experiences on recruitment and retention of volunteers in the first HIV vaccine trial in Dar es Salaam, Tanzania - A Phase i/II HIVIS-03 Trial. BMC Public Health 13:1149.doi: 10.1186/10.1186/1471-2458-13-1149","Experiences on recruitment and retention of volunteers in the first HIV vaccine trial in Dar es Salaam, Tanzania - A Phase i/II HIVIS-03 Trial",HIV,BMC Public Health ,2013,13,,1149,,12,10.1186/10.1186/1471-2458-13-1149,,,,,,,,"BACKGROUND: Eventual control of HIV/AIDS is believed to be ultimately dependent on a safe, effective and affordable vaccine. Participation of sub-Saharan Africa in the conduct of HIV trials is crucial as this region still experiences high HIV incidences. We describe the experience of recruiting and retaining volunteers in the first HIV vaccine trial (HIVIS03) in   METHODS: In this trial enrolled volunteers from amongst Police Officers (POs) in Dar es Salaam were primed with HIV-1 DNA vaccine at months 0, 1 and 3; and boosted with HIV-1 MVA vaccine at months 9 and 21. A stepwise education provision/sensitization approach was employed to eventual recruitment. Having identified a ""core"" group of POs keen on HIV prevention activities, those interested to participate in the vaccine trial were invited for a first screening session that comprised of provision of detailed study information and medical evaluation. In the second screening session results of the initial assessment were provided and those eligible were assessed for willingness to participate (WTP). Those willing were consented and eventually randomized into the trial having met the eligibility criteria. Voluntary participation was emphasized throughout.                                                                                      RESULTS: Out of 408 POs who formed the core group, 364 (89.0%) attended the educational sessions. 263 out of 364 (72.2%) indicated willingness to participate in the HIV vaccine trial. 98% of those indicating WTP attended the pre-screening workshops. 220 (85.0%) indicated willingness to undergo first screening and 177 POs attended for initial screenings, of whom 162 (91.5%) underwent both clinical and laboratory screenings. 119 volunteers (73.5%) were eligible for the study. 79 were randomized into the trial, while 19 did not turn up, the major reason being partner/family advice. 60 volunteers including 15 females were recruited during a one-year period. All participated in the planned progress updates workshops. Retention into the schedule was: 98% for the 3 DNA/placebo vaccinations, while it was 83% and 73% for the first and second MVA/placebo vaccinations respectively.                                          CONCLUSION: In this first HIV vaccine trial in Tanzania, we successfully recruited the volunteers and there was no significant loss to follow up. Close contact and updates on study progress facilitated the observed retention rates."
"278. Baker, K.S, Todd, S., Marsh, G.A., Cramerim G,, Barr, J., Kamins, A.O., Peel, A.J., Yu, M., Hayman, D.T., Najim, B., Mtove, G., Amos, B., Reyburn, H., Nyarko, E., Suu-Ire, R., Murcia, P.R., Cunningham, A.A., Wood, J.L. & Wang, L.F. (2013) Novel potentially-zoonotic paramyxoviruses from the African straw-colored fruit bat, Eidolon helvum. Journal of Virology 87 (3):1348-58. doi: 10.1128/JVI.01202-12. "," Novel potentially-zoonotic paramyxoviruses from the African straw-colored fruit bat, Eidolon helvum",zoonotic paramyxoviruses,Journal of Virology,2013,87,3,1348,1358,19,10.1128/JVI.01202-12,,,,,,,,"Bats carry a variety of paramyxoviruses that impact human and domestic animal health when spillover occurs. Recent studies have shown a great diversity of paramyxoviruses in an urban-roosting population of straw-colored fruit bats in Ghana. Here, we investigate this further through virus isolation and describe two novel rubulaviruses: Achimota virus 1 (AchPV1) and Achimota virus 2 (AchPV2). The viruses form a phylogenetic cluster with each other and other bat-derived rubulaviruses, such as Tuhoko viruses, Menangle virus, and Tioman virus. We developed AchPV1- and AchPV2-specific serological assays and found evidence of infection with both viruses in Eidolon helvum across sub-Saharan Africa and on islands in the Gulf of Guinea. Longitudinal sampling of E. helvum indicates virus persistence within fruit bat populations and suggests spread of AchPVs via horizontal transmission. We also detected possible serological evidence of human infection with AchPV2 in Ghana and Tanzania. It is likely that clinically significant zoonotic spillover of chiropteran paramyxoviruses could be missed throughout much of Africa where health surveillance and diagnostics are poor and comorbidities, such as infection with HIV or Plasmodium sp., are common."
"279. Bejon P, White MT, Olotu A, Bojang K, Lusingu JP, Salim N, Otsyula NN, Agnandji ST, Asante KP, Owusu-Agyei S, Abdulla S, Ghani AC. (2013) Efficacy of RTS,S malaria vaccines: individual-participant pooled analysis of phase 2 data. Lancet Infectious Diseases 13(4):319-27. doi: 10.1016/S1473-3099(13)70005-7. "," Efficacy of RTS,S malaria vaccines: individual-participant pooled analysis of phase 2 data",malaria ,Lancet Infectious Diseases,2013,13,4,319,327,12,10.1016/S1473-3099(13)70005-7,,,,,,,,"BACKGROUND: The efficacy of RTS,S/AS01 as a vaccine for malaria is being tested in a phase 3 clinical trial. Early results show significant, albeit partial, protection against clinical malaria and severe malaria. To ascertain variations in vaccine efficacy according to covariates such as transmission intensity, choice of adjuvant, age at vaccination, and bednet use, we did an individual-participant pooled analysis of phase 2 clinical data.                                                                                                                                                                                                METHODS: We analysed data from 11 different sites in Africa, including 4453 participants. We measured heterogeneity in vaccine efficacy by estimating the interactions between covariates and vaccination in pooled multivariable Cox regression and Poisson regression analyses. Endpoints for measurement of vaccine efficacy were infection, clinical malaria, severe malaria, and death. We defined transmission intensity levels according to the estimated local parasite prevalence in children aged 2-10 years (PrP????), ranging from 5% to 80%. Choice of adjuvant was either AS01 or AS02.                                                                                                                                                                                                                                                      FINDINGS: Vaccine efficacy against all episodes of clinical malaria varied by transmission intensity (p=0·001). At low transmission (PrP???? 10%) vaccine efficacy was 60% (95% CI 54 to 67), at moderate transmission (PrP???? 20%) it was 41% (21 to 57), and at high transmission (PrP???? 70%) the efficacy was 4% (-10 to 22). Vaccine efficacy also varied by adjuvant choice (p<0·0001)--eg, at low transmission (PrP???? 10%), efficacy varied from 60% (95% CI 54 to 67) for AS01 to 47% (14 to 75) for AS02. Variations in efficacy by age at vaccination were of borderline significance (p=0·038), and bednet use and sex were not significant covariates. Vaccine efficacy (pooled across adjuvant choice and transmission intensity) varied significantly (p<0·0001) according to time since vaccination, from 36% efficacy (95% CI 24 to 45) at time of vaccination to 0% (-38 to 38) after 3 years.                                             INTERPRETATION: Vaccine efficacy against clinical disease was of limited duration and was not detectable 3 years after vaccination. Furthermore, efficacy fell with increasing transmission intensity. Outcomes after vaccination cannot be gauged accurately on the basis of one pooled efficacy figure. However, predictions of public-health outcomes of vaccination will need to take account of variations in efficacy by transmission intensity and by time since vaccination.                                                                                                                           FUNDING: Medical Research Council (UK); Bill & Melinda Gates Foundation Vaccine Modelling Initiative; Wellcome Trust.                                                                          "
"280. Berger, S.S., Turner, L., Wang, C.W., Petersen, J.E., Kraft, M., Lusingu, J.P., Mmbando, B., Marquard, A.M., Bengtsson, D.B., Hviid, L., Nielsen, M.A., Theander, T.G., Lavstsen, T. (2013) Plasmodium falciparum expressing domain cassette 5 type PfEMP1 (DC5-PfEMP1) bind PECAM1. PLoS One 8(7)", Plasmodium falciparum expressing domain cassette 5 type PfEMP1 (DC5-PfEMP1) bind PECAM1,Malaria, PLoS One,2013,8,7,,,13,,,,,,,,,"Members of the Plasmodium falciparum Erythrocyte Membrane protein 1 (PfEMP1) family expressed on the surface of malaria-infected erythrocytes mediate binding of the parasite to different receptors on the vascular lining. This process drives pathologies, and severe childhood malaria has been associated with the expression of particular subsets of PfEMP1 molecules. PfEMP1 are grouped into subtypes based on upstream sequences and the presence of semi-conserved PfEMP1 domain compositions named domain cassettes (DCs). Earlier studies have indicated that DC5-containing PfEMP1 (DC5-PfEMP1) are more likely to be expressed in children with severe malaria disease than in children with uncomplicated malaria, but these PfEMP1 subtypes only dominate in a relatively small proportion of the children with severe disease. In this study, we have characterised the genomic sequence characteristic for DC5, and show that two genetically different parasite lines expressing DC5-PfEMP1 bind PECAM1, and that anti-DC5-specific antibodies inhibit binding of DC5-PfEMP1-expressing parasites to transformed human bone marrow endothelial cells (TrHBMEC). We also show that antibodies against each of the four domains characteristic for DC5 react with native PfEMP1 expressed on the surface of infected erythrocytes, and that some of these antibodies are cross-reactive between the two DC5-containing PfEMP1 molecules tested. Finally, we confirm that anti-DC5 antibodies are acquired early in life by individuals living in malaria endemic areas, that individuals having high levels of these antibodies are less likely to develop febrile malaria episodes and that the antibody levels correlate positively with hemoglobin levels."
"281. Biggs, H.M., Lester, R., Nadjm, B., Mtove, G., Todd, J.E., Kinabo, G.D., Philemon, R., Amos, B., Morrissey, A.B., Reyburn, H. & Crump, J.A. (2013) Invasive Salmonella infections in areas of high and low malaria transmission intensity in Tanzania. Clinical and Infectious Diseases doi: 10.1093/cid/cit798",Invasive Salmonella infections in areas of high and low malaria transmission intensity in Tanzania,malaria, Clinical and Infectious Diseases ,2013,,,,,11,10.1093/cid/cit798,,,,,,,,"The Correspondence (June 20, p 2461)1 discussing the causes of child death estimates from both the Maternal and Child Epidemiology Estimation (MCEE) group and the Global Burden of Disease (GBD) study2 is welcome because the understanding of complex global estimates depends crucially on transparent debate and methodological comparisons.             Unfortunately, however, a specific issue has been misrepresented in the current debate. Verbal autopsy (VA) is an important underlying concept for all mortality studies in which complete death registration data are unavailable. The GBD response by Theo Vos and colleagues2 stated that they excluded diagnoses derived using the InterVA model,3 alleging poor validity in relation to physician-coded causes. Although their assertion was supported by citing a previous GBD study, it is contradicted by most peer-reviewed literature about this subject. Of more than 50 relevant publications, a particular study of more than 54?000 VA cases from five countries reported strong equivalence between InterVA diagnosis and physician coding.4 Paradoxically in this context, the series of papers from the INDEPTH Network analysing more than 110?000 deaths from Africa and Asia using InterVA reported cause-specific mortality rates that were highly congruent with corresponding GBD estimates.5 Furthermore, another study using data from the ALPHA Network has shown the high specificity of InterVA in relation to known HIV status.6 I therefore call on the GBD group2 to adhere to their original intention “to incorporate all the available data”.7 Multifarious sources of data should be recognised as having their own strengths and weaknesses, and that is the raison d'être of complex modelling."
